countrycit,D_biep.White_Good_all.mean,D_biep.White_Good_all.sd,freq,err
AD,0.43423636,0.43929295,   87,0.047097147
AL,0.37147045,0.41859720,  930,0.013726343
AN,0.37926070,0.44119872,   45,0.065770022
AT,0.34884463,0.42475352, 1924,0.009683547
BA,0.33540940,0.40390113,  799,0.014288995
BE,0.35557853,0.41066147, 5467,0.005554045
BG,0.41900877,0.41134228, 1129,0.012242113
BY,0.43496179,0.42806433,  372,0.022194102
CH,0.36824532,0.40411359, 1628,0.010015584
CZ,0.44748045,0.42182311,  819,0.014739692
DE,0.36536082,0.41131488,11459,0.003842387
DK,0.35751370,0.40058511, 3165,0.007120458
EE,0.40188965,0.41506427,  486,0.018827698
ES,0.38060504,0.40264696, 2247,0.008494208
FI,0.37883594,0.42746568, 4344,0.006485692
FR,0.37261383,0.40576058, 4698,0.005919886
GR,0.36524304,0.41396504, 1427,0.010958514
HR,0.34595876,0.40301387,  964,0.012980203
HU,0.37558126,0.42622513,  932,0.013961468
IE,0.34689950,0.40691375, 6610,0.005004972
IS,0.36986621,0.40539730,  643,0.015987309
IT,0.40657606,0.40612388, 3052,0.007351336
LI,0.30851126,0.33781794,   11,0.101855943
LT,0.44397596,0.38675552,  696,0.014659930
LU,0.34959792,0.41671666,   98,0.042094740
LV,0.37735283,0.40756668,  373,0.021103003
MC,0.17850572,0.34872416,    8,0.123292607
MD,0.42307919,0.40363712,  195,0.028905054
ME,0.32081556,0.46262774,   70,0.055294591
MK,0.37744147,0.37679367,  371,0.019562152
MT,0.42471632,0.39866379,  117,0.036856481
NL,0.35681581,0.41271133, 8088,0.004589082
NO,0.34908112,0.40995952, 5766,0.005398880
PL,0.38791153,0.40484801, 3126,0.007240983
PT,0.40481868,0.40275794, 1885,0.009276591
RO,0.39188768,0.40208119, 1961,0.009079772
RS,0.29834161,0.43297662,  370,0.022509383
RU,0.43446177,0.41499589, 2310,0.008634512
SE,0.35502015,0.41611388, 5773,0.005476605
SI,0.30221473,0.42592330,  455,0.019967592
SK,0.40524784,0.39736951,  493,0.017896622
SM,0.04202844,0.35535148,    4,0.177675742
UA,0.42919006,0.38840130, 1108,0.011668386
UK,0.34828172,0.41927952,57533,0.001748015
