countrycitcode	countrycit
US	1
US	1
AF	2
AL	3
DZ	4
AS	5
AD	6
AO	7
AI	8
AQ	9
AG	10
AR	11
AM	12
AW	13
AU	14
AT	15
AZ	16
BS	17
BH	18
BD	19
BB	20
BY	21
BE	22
BZ	23
BJ	24
BM	25
BT	26
BO	27
BA	28
BW	29
BV	30
BR	31
IO	32
BN	33
BG	34
BF	35
BI	36
KH	37
CM	38
CA	39
CV	40
KY	41
CF	42
TD	43
CL	44
CN	45
CX	46
CC	47
CO	48
KM	49
CG	50
CD	51
CK	52
CR	53
CI	54
HR	55
CU	56
CY	57
CZ	58
DK	59
DJ	60
DM	61
DO	62
TP	63
EC	64
EG	65
SV	66
GQ	67
ER	68
EE	69
ET	70
FK	71
FO	72
FJ	73
FI	74
FR	75
GF	76
PF	77
TF	78
GA	79
GM	80
GE	81
DE	82
GH	83
GI	84
GR	85
GL	86
GD	87
GP	88
GU	89
GT	90
GN	91
GW	92
GY	93
HT	94
HM	95
HN	96
HK	97
HU	98
IS	99
IN	100
ID	101
IR	102
IQ	103
IE	104
IL	105
IT	106
JM	107
JP	108
JO	109
KZ	110
KE	111
KI	112
KR	113
KP	114
KW	115
KG	116
LA	117
LV	118
LB	119
LS	120
LR	121
LY	122
LI	123
LT	124
LU	125
MO	126
MK	127
MG	128
MW	129
MY	130
MV	131
ML	132
MT	133
MH	134
MQ	135
MR	136
MU	137
YT	138
MX	139
FM	140
MD	141
MC	142
MN	143
ME	144
MS	145
MA	146
MZ	147
MM	148
NA	149
NR	150
NP	151
AN	152
NL	153
NC	154
NZ	155
NI	156
NE	157
NG	158
NU	159
NF	160
MP	161
NO	162
OM	163
PK	164
PW	165
PA	166
PG	167
PY	168
PE	169
PH	170
PN	171
PL	172
PT	173
PR	174
QA	175
RE	176
RO	177
RU	178
RW	179
SH	180
KN	181
LC	182
PM	183
VC	184
WS	185
SM	186
ST	187
SA	188
SN	189
RS	190
SC	191
SL	192
SG	193
SK	194
SI	195
SB	196
SO	197
ZA	198
GS	199
ES	200
LK	201
SD	202
SR	203
SJ	204
SZ	205
SE	206
CH	207
SY	208
TW	209
TJ	210
TZ	211
TH	212
TG	213
TK	214
TO	215
TT	216
TN	217
TR	218
TM	219
TC	220
TV	221
UG	222
UA	223
AE	224
UK	225
UM	226
UY	227
UZ	228
VU	229
VA	230
VE	231
VN	232
VG	233
VI	234
WF	235
YE	236
YU	237
ZM	238
ZW	239
