"","x"
"1","session_id"
"2","session_status"
"3","study_name"
"4","date"
"5","month"
"6","day"
"7","year"
"8","hour"
"9","weekday"
"10","age"
"11","birthmonth"
"12","birthyear"
"13","num"
"14","raceomb"
"15","raceombmulti"
"16","ethnicityomb"
"17","sex"
"18","sex_5"
"19","d_biep.white_good_all"
"20","mn_rt_all_3467"
"21","n_3467"
"22","pct_error_3467"
"23","order"
"24","side_good_34"
"25","side_white_34"
"26","pct_300"
"27","pct_400"
"28","pct_2k"
"29","pct_3k"
"30","pct_4k"
"31","tblack"
"32","tblack_0to10"
"33","tblack_1to11"
"34","twhite"
"35","twhite_0to10"
"36","twhite_1to11"
"37","att"
"38","att_7"
"39","admission"
"40","customs"
"41","employ"
"42","taxi"
"43","d_biep.white_good_36"
"44","d_biep.white_good_47"
"45","mn_rt_all_3"
"46","mn_rt_all_4"
"47","mn_rt_all_6"
"48","mn_rt_all_7"
"49","sd_all_3"
"50","sd_all_4"
"51","sd_all_6"
"52","sd_all_7"
"53","n_3"
"54","n_4"
"55","n_5"
"56","n_6"
"57","n_7"
"58","mn_rt_correct_3"
"59","mn_rt_correct_4"
"60","mn_rt_correct_6"
"61","mn_rt_correct_7"
"62","sd_correct_3"
"63","sd_correct_4"
"64","sd_correct_6"
"65","sd_correct_7"
"66","n_error_3"
"67","n_error_4"
"68","n_error_6"
"69","n_error_7"
"70","countrycit"
"71","countryres"
"72","edu"
"73","edu_14"
"74","studentornot"
"75","edunotstudent"
"76","edustudent"
"77","major"
"78","employment"
"79","occupation"
"80","occupation_self"
"81","occupation_supporter"
"82","occuself"
"83","occuselfdetail"
"84","occusupporter"
"85","occusupporterdetail"
"86","politicalid"
"87","politicalid_7"
"88","state"
"89","msano"
"90","countyno"
"91","msaname"
"92","religion2009"
"93","religion2014"
"94","religionid"
"95","financialsupport"
"96","incomeself"
"97","incomesupporter"
"98","wealthself"
"99","wealthsupporter"
"100","q2a"
"101","q2b"
"102","q2c"
"103","q2d"
"104","q3a"
"105","q3b"
"106","q3c"
"107","q4"
"108","bfia1"
"109","bfia2"
"110","bfia3"
"111","bfia4"
"112","bfia5"
"113","bfia6"
"114","bfia7"
"115","bfia8"
"116","bfia9"
"117","bfic1"
"118","bfic2"
"119","bfic3"
"120","bfic4"
"121","bfic5"
"122","bfic6"
"123","bfic7"
"124","bfic8"
"125","bfic9"
"126","bfie1"
"127","bfie2"
"128","bfie3"
"129","bfie4"
"130","bfie5"
"131","bfie6"
"132","bfie7"
"133","bfie8"
"134","bfin1"
"135","bfin2"
"136","bfin3"
"137","bfin4"
"138","bfin5"
"139","bfin6"
"140","bfin7"
"141","bfin8"
"142","bfio1"
"143","bfio2"
"144","bfio3"
"145","bfio4"
"146","bfio5"
"147","bfio6"
"148","bfio7"
"149","bfio8"
"150","bfio9"
"151","bfio10"
"152","bidrim1"
"153","bidrim2"
