countrycit,D_biep.White_Good_all.mean,D_biep.White_Good_all.sd,n,err
AD,0.21962844,0.52003893, 191,0.037628696
AL,0.25211079,0.49051802, 517,0.021572958
AN,0.16716427,0.44851617, 157,0.035795487
AT,0.31430839,0.45171802, 487,0.020469297
BA,0.25825457,0.48205318, 384,0.024599673
BE,0.26618595,0.45200861, 604,0.018391970
BG,0.27608959,0.44729754,  80,0.050009385
BY,0.27339253,0.51113878, 157,0.040793316
CH,0.24400886,0.42713414, 270,0.025994556
CZ,0.37309732,0.37335365,  33,0.064992528
DE,0.28123014,0.42735411,1455,0.011203569
DK,0.22194605,0.39020950, 335,0.021319422
EE,0.37046349,0.37733111,  14,0.100845982
ES,0.33883910,0.40420915, 643,0.015940453
FI,0.23888821,0.45942149, 201,0.032405093
FR,0.24465144,0.41687346, 930,0.013669819
GR,0.27959160,0.31957031, 118,0.029418831
HR,0.33267134,0.48440662,  45,0.072211076
HU,0.24076862,0.43926327,  80,0.049111127
IE,0.28242683,0.39965313, 278,0.023969602
IS,0.28498606,0.33998294,  32,0.060101061
IT,0.28706002,0.42057098, 428,0.020329065
LI,0.24982325,0.24503536,   5,0.109583145
LT,0.30759177,0.44056489,  30,0.080435776
LU,0.42402370,0.57848353,  15,0.149363804
LV,0.34798357,0.30379939,  20,0.067931608
MC,0.09772188,0.30264564,   4,0.151322820
MD,0.20629899,0.51054042,  28,0.096483070
ME,0.21286230,0.03923737,   2,0.027745013
MK,0.09748403,0.30921076,  21,0.067475319
MT,0.29124698,0.49927933,  18,0.117681268
NL,0.21288142,0.44699049,1539,0.011394072
NO,0.24169156,0.41287259, 740,0.015177498
PL,0.31693707,0.41616713, 120,0.037990688
PT,0.27473541,0.43709692, 244,0.027982263
RO,0.32089401,0.41272676, 103,0.040667176
RS,0.18593533,0.40754422,  16,0.101886055
RU,0.27168507,0.42400087, 224,0.028329750
SE,0.19018948,0.42356334, 741,0.015559988
SI,0.28786551,0.52507262,  22,0.111945859
SK,0.36290442,0.31784241,  20,0.071071725
UA,0.52790195,0.37251861,  80,0.041648847
UK,0.18299546,0.45799695,9416,0.004719863
