countrycit,D_biep.White_Good_all.mean,D_biep.White_Good_all.sd,n,err
AD,0.47800394,0.41310642,   78,0.046775091
AL,0.38074248,0.41363123,  785,0.014763132
AN,0.40991439,0.42487432,   35,0.071816867
AT,0.37516292,0.42569410, 1054,0.013112253
BA,0.34809489,0.39777209,  695,0.015088356
BE,0.38310363,0.39983399, 2961,0.007347854
BG,0.42230437,0.41865728,  870,0.014193811
BY,0.44216347,0.42414027,  285,0.025123901
CH,0.37352770,0.40392067, 1231,0.011512431
CZ,0.45593091,0.41598225,  628,0.016599499
DE,0.36973090,0.41112054, 8561,0.004443313
DK,0.37834219,0.39810207, 2315,0.008274065
EE,0.41443184,0.43764853,  306,0.025018701
ES,0.39661040,0.40466292, 1585,0.010164331
FI,0.39723554,0.42457685, 3380,0.007302944
FR,0.38006842,0.40811038, 3421,0.006977520
GR,0.35703319,0.40963430, 1052,0.012629566
HR,0.35247977,0.40607729,  657,0.015842584
HU,0.37284322,0.42275502,  744,0.015498951
IE,0.35315363,0.40826975, 5355,0.005579143
IS,0.37789789,0.40009243,  474,0.018376854
IT,0.41259789,0.40219242, 2339,0.008316082
LI,0.32779219,0.35580922,   10,0.112516755
LT,0.45811915,0.39690530,  474,0.018230464
LU,0.37152282,0.40151504,   67,0.049052869
LV,0.40953388,0.39459169,  243,0.025313068
MC,0.28451902,0.36492165,    6,0.148978639
MD,0.43277848,0.40706954,  171,0.031129386
ME,0.38074359,0.37110468,   51,0.051965049
MK,0.37564399,0.37599504,  318,0.021084755
MT,0.46959914,0.36206212,   72,0.042669430
NL,0.36138979,0.41446952, 6703,0.005062418
NO,0.35181260,0.40897278, 4953,0.005811125
PL,0.39566942,0.40818937, 2489,0.008181807
PT,0.41755957,0.40398597, 1319,0.011123562
RO,0.40231007,0.40011538, 1508,0.010303495
RS,0.29897632,0.43357124,  340,0.023513702
RU,0.44378602,0.41593772, 1900,0.009542266
SE,0.36623890,0.41576214, 4275,0.006358825
SI,0.31231229,0.41907330,  417,0.020522108
SK,0.43393991,0.38880636,  347,0.020872219
SM,0.07929084,0.42553625,    3,0.245683466
UA,0.43742293,0.38851000,  947,0.012624879
UK,0.35695002,0.41976512,45217,0.001974038
